Predicted values against Expected values.....

Test Day=402, Predicted=16.418674, Expected=16.959574
Test Day=403, Predicted=16.975008, Expected=16.783285
Test Day=404, Predicted=16.799675, Expected=17.037924
Test Day=405, Predicted=17.053185, Expected=16.877958
Test Day=406, Predicted=16.891638, Expected=16.855106
Test Day=407, Predicted=16.865568, Expected=17.217476
Test Day=408, Predicted=17.232254, Expected=17.106480
Test Day=409, Predicted=17.121487, Expected=17.204418
Test Day=410, Predicted=17.217678, Expected=17.305620
Test Day=411, Predicted=17.320118, Expected=17.145655
Test Day=412, Predicted=17.157230, Expected=16.740845
Test Day=413, Predicted=16.744299, Expected=16.453562
Test Day=414, Predicted=16.451845, Expected=16.649437
Test Day=415, Predicted=16.652641, Expected=16.296860
Test Day=416, Predicted=16.299425, Expected=16.486208
Test Day=417, Predicted=16.490894, Expected=16.110779
Test Day=418, Predicted=16.113857, Expected=16.287067
Test Day=419, Predicted=16.291687, Expected=16.437239
Test Day=420, Predicted=16.447842, Expected=16.639643
Test Day=421, Predicted=16.653957, Expected=16.747375
Test Day=422, Predicted=16.763336, Expected=16.239382
Test Day=423, Predicted=16.246212, Expected=16.272156
Test Day=424, Predicted=16.276110, Expected=16.609726
Test Day=425, Predicted=16.620977, Expected=16.042740
Test Day=426, Predicted=16.047827, Expected=16.157448
Test Day=427, Predicted=16.160727, Expected=15.623236
Test Day=428, Predicted=15.622132, Expected=15.574076
Test Day=429, Predicted=15.571755, Expected=15.403652
Test Day=430, Predicted=15.403535, Expected=15.469199
Test Day=431, Predicted=15.472388, Expected=15.891980
Test Day=432, Predicted=15.903692, Expected=15.872316
Test Day=433, Predicted=15.887075, Expected=15.891980
Test Day=434, Predicted=15.904791, Expected=15.718280
Test Day=435, Predicted=15.727849, Expected=16.406528
Test Day=436, Predicted=16.422388, Expected=16.354090
Test Day=437, Predicted=16.373770, Expected=16.590061
Test Day=438, Predicted=16.608133, Expected=16.681828
Test Day=439, Predicted=16.700403, Expected=16.429470
Test Day=440, Predicted=16.442003, Expected=17.081667
Test Day=441, Predicted=17.098267, Expected=16.921076
Test Day=442, Predicted=16.939457, Expected=16.865360
Test Day=443, Predicted=16.877970, Expected=16.862083
Test Day=444, Predicted=16.873411, Expected=17.222593
Test Day=445, Predicted=17.237978, Expected=17.199652
Test Day=446, Predicted=17.216236, Expected=15.469199
Test Day=447, Predicted=15.447553, Expected=15.043140
Test Day=448, Predicted=15.012551, Expected=15.203732
Test Day=449, Predicted=15.188430, Expected=15.731389
Test Day=450, Predicted=15.733723, Expected=15.692060
Test Day=451, Predicted=15.701365, Expected=15.711725
Test Day=452, Predicted=15.720742, Expected=15.367600
Test Day=453, Predicted=15.371986, Expected=15.393820
Test Day=454, Predicted=15.397604, Expected=15.052973
Test Day=455, Predicted=15.054490, Expected=15.200455
Test Day=456, Predicted=15.204163, Expected=15.354491
Test Day=457, Predicted=15.364277, Expected=15.233229
Test Day=458, Predicted=15.242780, Expected=15.347937
Test Day=459, Predicted=15.358048, Expected=14.977593
Test Day=460, Predicted=14.983339, Expected=15.193900
Test Day=461, Predicted=15.200762, Expected=14.879272
Test Day=462, Predicted=14.885011, Expected=14.689184
Test Day=463, Predicted=14.690883, Expected=14.590863
Test Day=464, Predicted=14.592939, Expected=14.603972
